issn,product_title_sort,Title,Format,product_id,Imprint,Primary Language,Vols Qty,Scheduled Vol Nos,Single Issues per volume,Open Access,Comment,imprints,issn_type,.id,V1
1619-4500,4OR,4OR,PE OF,10288,Springer,English,1,17,4,Hybrid (Open Choice),NA,Springer,ISSN print,2016,37
1619-4500,4OR,4OR,PE OF,10288,Springer,English,1,17,4,Hybrid (Open Choice),NA,Springer,ISSN print,2017,29
1619-4500,4OR,4OR,PE OF,10288,Springer,English,1,17,4,Hybrid (Open Choice),NA,Springer,ISSN print,2015,24
1619-4500,4OR,4OR,PE OF,10288,Springer,English,1,17,4,Hybrid (Open Choice),NA,Springer,ISSN print,2018,19
0025-5858,Abhandlungen Mathematischen Seminar Universität Hamburg,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,PE OF S,12188,Springer,English,1,89,2,Hybrid (Open Choice),NA,Springer,ISSN print,2016,31
0025-5858,Abhandlungen Mathematischen Seminar Universität Hamburg,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,PE OF S,12188,Springer,English,1,89,2,Hybrid (Open Choice),NA,Springer,ISSN print,2017,24
0025-5858,Abhandlungen Mathematischen Seminar Universität Hamburg,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,PE OF S,12188,Springer,English,1,89,2,Hybrid (Open Choice),NA,Springer,ISSN print,2015,15
0025-5858,Abhandlungen Mathematischen Seminar Universität Hamburg,Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg,PE OF S,12188,Springer,English,1,89,2,Hybrid (Open Choice),NA,Springer,ISSN print,2018,6
1042-9670,Academic Psychiatry,Academic Psychiatry,PE OF S,40596,Springer,English,1,43,6,Hybrid (Open Choice),NA,Springer,ISSN print,2017,217
1042-9670,Academic Psychiatry,Academic Psychiatry,PE OF S,40596,Springer,English,1,43,6,Hybrid (Open Choice),NA,Springer,ISSN print,2015,208
1042-9670,Academic Psychiatry,Academic Psychiatry,PE OF S,40596,Springer,English,1,43,6,Hybrid (Open Choice),NA,Springer,ISSN print,2016,173
1042-9670,Academic Psychiatry,Academic Psychiatry,PE OF S,40596,Springer,English,1,43,6,Hybrid (Open Choice),NA,Springer,ISSN print,2018,110
0895-4852,Academic Questions,Academic Questions,PE OF,12129,Springer,English,1,32,4,Hybrid (Open Choice),NA,Springer,ISSN print,2017,69
0895-4852,Academic Questions,Academic Questions,PE OF,12129,Springer,English,1,32,4,Hybrid (Open Choice),NA,Springer,ISSN print,2015,69
0895-4852,Academic Questions,Academic Questions,PE OF,12129,Springer,English,1,32,4,Hybrid (Open Choice),NA,Springer,ISSN print,2016,66
0895-4852,Academic Questions,Academic Questions,PE OF,12129,Springer,English,1,32,4,Hybrid (Open Choice),NA,Springer,ISSN print,2018,53
0949-1775,Accreditation Quality Assurance,Accreditation and Quality Assurance,PE OF S,769,Springer,English,1,24,6,Hybrid (Open Choice),NA,Springer,ISSN print,2015,86
0949-1775,Accreditation Quality Assurance,Accreditation and Quality Assurance,PE OF S,769,Springer,English,1,24,6,Hybrid (Open Choice),NA,Springer,ISSN print,2017,62
0949-1775,Accreditation Quality Assurance,Accreditation and Quality Assurance,PE OF S,769,Springer,English,1,24,6,Hybrid (Open Choice),NA,Springer,ISSN print,2016,55
0949-1775,Accreditation Quality Assurance,Accreditation and Quality Assurance,PE OF S,769,Springer,English,1,24,6,Hybrid (Open Choice),NA,Springer,ISSN print,2018,40
1063-7710,Acoustical Physics,Acoustical Physics,PE,11441,Pleiades Publishing,English,1,65,6,NA,Russian Library of Science.,other,ISSN print,2016,94
1063-7710,Acoustical Physics,Acoustical Physics,PE,11441,Pleiades Publishing,English,1,65,6,NA,Russian Library of Science.,other,ISSN print,2017,87
1063-7710,Acoustical Physics,Acoustical Physics,PE,11441,Pleiades Publishing,English,1,65,6,NA,Russian Library of Science.,other,ISSN print,2015,86
1063-7710,Acoustical Physics,Acoustical Physics,PE,11441,Pleiades Publishing,English,1,65,6,NA,Russian Library of Science.,other,ISSN print,2018,60
0353-5150,Acta Analytica,Acta Analytica,PE OF,12136,Springer,English,1,34,4,Hybrid (Open Choice),NA,Springer,ISSN print,2016,37
0353-5150,Acta Analytica,Acta Analytica,PE OF,12136,Springer,English,1,34,4,Hybrid (Open Choice),NA,Springer,ISSN print,2015,35
0353-5150,Acta Analytica,Acta Analytica,PE OF,12136,Springer,English,1,34,4,Hybrid (Open Choice),NA,Springer,ISSN print,2018,26
